ticker,A,k
AAPL,1.5621267436942083,13.802322096724627
NVDA,1.7848175795900727,12.544291940179551
AMZN,1.6016890700531579,13.753446465080554
MSFT,1.5742499660505784,7.982298520681891
AVGO,1.6560377261758483,5.245967569783411
META,1.7348444647336398,4.483610256302034
TSLA,1.9869651211217496,4.343862364794369
BRK-B,1.6499525056463644,10.382582147970606
WMT,1.572565980518678,37.200802381254796
LLY,1.5155830534788877,2.600374903229857
JPM,1.6269125327119516,11.341015249592253
XOM,1.6492026463456084,37.62195822824044
V,1.6135035128984032,11.62311746385769
JNJ,1.4816267732696087,23.379508069545565
MA,1.5408963709681947,6.9426126427862265
COST,1.5731579370087325,4.809371459550378
ORCL,1.5702663984550767,6.324223342604689
MU,1.463925190899116,5.916743845867298
ABBV,1.5639389736836815,14.51543000243005
