day,pnl,split,regime
0,5825.507617476944,train,AC
1,5188.69342207865,train,AC
2,12895.090268889693,train,AC
3,1095.6737948352272,train,AC
4,3044.433105201958,train,AC
5,9626.15354598815,train,AC
6,13094.45595656716,train,AC
7,5584.931741185113,train,AC
8,8982.005604812119,train,AC
9,5932.8755505279005,train,AC
10,-1810.8451669042518,train,AC
11,17472.624843625726,train,AC
12,7077.1511317979885,train,AC
13,-2902.894428385427,train,AC
14,6024.587351272403,train,AC
15,1962.7142818201041,train,AC
16,16529.05964959458,train,AC
17,12256.45293679079,train,AC
18,7027.786715499783,train,AC
19,-4405.74816397411,train,AC
20,6598.7992749036885,train,AC
21,9188.962180933591,train,AC
22,9581.371623935023,train,AC
23,9822.985539510204,train,AC
24,6250.941601181642,train,AC
25,3987.06498142915,train,AC
26,14747.165320142365,train,AC
27,21988.87094647408,train,AC
28,6342.211227904444,train,AC
29,-3385.531915547804,train,AC
30,11163.13706939413,train,AC
31,12534.962542963855,train,AC
32,2628.6285781666984,train,AC
33,1751.921464870448,train,AC
34,-938.4771455959368,train,AC
35,-1486.1691872536517,train,AC
36,10588.013600381331,train,AC
37,2900.8722714847604,train,AC
38,1085.1789218128238,train,AC
39,13329.121480211375,train,AC
40,13064.188513677409,train,AC
41,8506.422435545257,train,AC
42,10379.51474278071,train,AC
43,8070.583746869159,train,AC
44,6694.7172122223155,train,AC
45,20710.499944715015,train,AC
46,11499.27699420169,train,AC
47,2198.4880772453525,train,AC
48,21731.246962203477,train,AC
49,8100.57134355061,train,AC
50,30170.91044389847,train,AC
51,22555.67920073116,train,AC
52,20635.857295208294,train,AC
53,31178.600823261986,train,AC
54,11414.061203394887,train,AC
55,16206.637856949892,train,AC
56,18133.07138802137,train,AC
57,17853.34723040241,train,AC
58,17088.597923434387,train,AC
59,19410.386974172674,train,AC
60,6253.848303804254,train,AC
61,10886.765329471056,train,AC
62,21642.609938307378,train,AC
63,13489.079148611228,train,AC
64,13736.673335025882,train,AC
65,20184.466117653017,train,AC
66,17560.502015354847,train,AC
67,12572.620109656475,train,AC
68,5519.376857204535,train,AC
69,-836.8152065016816,train,AC
70,1393.2475702839438,train,AC
71,26507.689561526677,train,AC
72,24901.239354393147,train,AC
73,1488.5702339882996,train,AC
74,22262.6183985903,train,AC
75,21948.066814229885,train,AC
76,13159.533320323655,train,AC
77,10112.152273832306,train,AC
78,4679.104192049645,train,AC
79,7128.134684844584,train,AC
80,4505.681189750654,train,AC
81,7706.964544327118,train,AC
82,6746.203171116913,train,AC
83,6436.189651079265,train,AC
84,34174.45164889806,train,AC
85,10452.171141762417,train,AC
86,12158.727688653315,train,AC
87,12169.538431029236,train,AC
88,19414.508184729024,train,AC
89,13223.854463944315,train,AC
90,6181.391965118839,train,AC
91,18408.858587722476,train,AC
92,16965.23214298868,train,AC
0,12445.62673111067,test,AC
1,16042.136768857696,test,AC
2,16458.009886952816,test,AC
3,24401.08536899169,test,AC
4,20063.137532641154,test,AC
5,-7061.191024337496,test,AC
6,16123.40246617279,test,AC
7,6866.337423494851,test,AC
8,6702.646133533548,test,AC
9,20540.24155058485,test,AC
10,16350.112764246713,test,AC
11,11529.566729626311,test,AC
12,15248.338843888048,test,AC
13,8456.015556871916,test,AC
14,4335.3707192441325,test,AC
15,13780.866686431209,test,AC
16,26626.710665356182,test,AC
17,14953.698480712452,test,AC
18,-6041.6269649054775,test,AC
19,12449.173870559967,test,AC
20,-2307.5555209100075,test,AC
21,16277.435579205965,test,AC
22,13367.25780133786,test,AC
23,11112.019540684674,test,AC
24,6726.48927857831,test,AC
25,11866.67523170654,test,AC
26,10402.279669993843,test,AC
27,13281.071292882678,test,AC
28,8223.57041987308,test,AC
29,8174.582228983398,test,AC
30,10796.881523587712,test,AC
31,7918.036057970596,test,AC
32,2579.018257633885,test,AC
33,18845.824310212523,test,AC
34,6939.151277654129,test,AC
35,19918.12910569144,test,AC
36,21707.702892905654,test,AC
37,10686.00313956716,test,AC
38,23295.00542519279,test,AC
39,16915.836919243804,test,AC
0,6280.978131794132,train,NoAC
1,-5734.217355702422,train,NoAC
2,2097.845825111763,train,NoAC
3,14821.823615887672,train,NoAC
4,17194.283785708547,train,NoAC
5,-8587.181922073172,train,NoAC
6,14802.175405381651,train,NoAC
7,-243.51760064306927,train,NoAC
8,13654.678297661914,train,NoAC
9,1386.874361676333,train,NoAC
10,4517.363122902744,train,NoAC
11,7148.156206930851,train,NoAC
12,15377.24787908887,train,NoAC
13,27392.347503903744,train,NoAC
14,21722.884353872487,train,NoAC
15,5619.692514878153,train,NoAC
16,6769.108048473345,train,NoAC
17,11983.669407764644,train,NoAC
18,31133.73229902955,train,NoAC
19,9416.819735891744,train,NoAC
20,6502.7665685685115,train,NoAC
21,16869.15352742875,train,NoAC
22,31174.218633041397,train,NoAC
23,0.45888929182615357,train,NoAC
24,23823.488312518428,train,NoAC
25,10021.957081375993,train,NoAC
26,21920.990227911334,train,NoAC
27,-451.49974976057786,train,NoAC
28,5835.021330580488,train,NoAC
29,3332.520249138179,train,NoAC
30,11950.206021248818,train,NoAC
31,2093.0900302624923,train,NoAC
32,11584.181016718561,train,NoAC
33,5832.475521174668,train,NoAC
34,7638.657775537365,train,NoAC
35,14058.122232651784,train,NoAC
36,11483.130656135749,train,NoAC
37,7685.165778097661,train,NoAC
38,5540.409013582551,train,NoAC
39,13451.451032052018,train,NoAC
40,3980.147445157936,train,NoAC
41,29578.530608697434,train,NoAC
42,15705.67899598091,train,NoAC
43,32456.17404253546,train,NoAC
44,10693.850199304023,train,NoAC
45,23482.416478244257,train,NoAC
46,36559.07784939985,train,NoAC
47,5274.886332194371,train,NoAC
48,9333.217521493825,train,NoAC
49,20987.535196328663,train,NoAC
50,8718.53224153644,train,NoAC
51,15486.10688429622,train,NoAC
52,11753.504352993887,train,NoAC
53,24670.128860302106,train,NoAC
54,38825.298109140764,train,NoAC
55,29491.85678207261,train,NoAC
56,39008.96118621961,train,NoAC
57,-4949.292728498841,train,NoAC
58,4815.534702426783,train,NoAC
59,13061.865954609937,train,NoAC
60,15270.569225011935,train,NoAC
61,9458.340604437075,train,NoAC
62,1933.3602056803825,train,NoAC
63,10741.51697112102,train,NoAC
64,27100.959471822465,train,NoAC
65,15848.196006568329,train,NoAC
66,750.6133764411527,train,NoAC
67,11723.751898447623,train,NoAC
68,17498.7171626468,train,NoAC
69,-15199.684577336504,train,NoAC
70,11260.305532211101,train,NoAC
71,2768.619900531153,train,NoAC
72,37285.23162731012,train,NoAC
73,17529.91528526699,train,NoAC
74,-8503.198868827974,train,NoAC
75,15757.524272649554,train,NoAC
76,950.3296221163132,train,NoAC
77,33553.41682560532,train,NoAC
78,10568.174365229897,train,NoAC
79,8487.79112388087,train,NoAC
80,6419.885491514076,train,NoAC
81,10375.99018358344,train,NoAC
82,6923.589807636918,train,NoAC
83,9699.687622295594,train,NoAC
84,24798.77306192449,train,NoAC
85,13837.914966283313,train,NoAC
86,32248.670322726866,train,NoAC
87,3892.7883178277098,train,NoAC
88,-18105.19692914903,train,NoAC
89,15608.22163965669,train,NoAC
90,14594.197355503878,train,NoAC
91,11825.148976896402,train,NoAC
92,16614.547394607158,train,NoAC
0,19895.16868484939,test,NoAC
1,2122.7331372004855,test,NoAC
2,12520.006704260617,test,NoAC
3,17450.547808418352,test,NoAC
4,-3916.7963368763567,test,NoAC
5,25547.191794049413,test,NoAC
6,20313.711028092664,test,NoAC
7,8469.829526149008,test,NoAC
8,6514.924150764138,test,NoAC
9,6813.3907853972205,test,NoAC
10,-7206.404015779642,test,NoAC
11,21268.134365977214,test,NoAC
12,8799.263530591892,test,NoAC
13,697.0515193031425,test,NoAC
14,40361.17155683307,test,NoAC
15,2440.201277141854,test,NoAC
16,18475.488938244227,test,NoAC
17,17177.675650199035,test,NoAC
18,15901.211901962019,test,NoAC
19,6165.749924254446,test,NoAC
20,-8334.070502177203,test,NoAC
21,14618.804451041788,test,NoAC
22,34766.60355949642,test,NoAC
23,18935.878942589672,test,NoAC
24,3913.495065469922,test,NoAC
25,5655.179471371913,test,NoAC
26,33513.730743613494,test,NoAC
27,14578.92988225977,test,NoAC
28,20706.87246314914,test,NoAC
29,1175.1870694584777,test,NoAC
30,21555.916546211996,test,NoAC
31,12046.197601028729,test,NoAC
32,6621.8924501605325,test,NoAC
33,15293.84322077289,test,NoAC
34,11213.89785737083,test,NoAC
35,35258.493658427666,test,NoAC
36,259.2133976432035,test,NoAC
37,19984.809272246774,test,NoAC
38,18532.999020953044,test,NoAC
39,21288.680077942267,test,NoAC
